code,name,size,row_colour,disposition,current_stock,incoming_open_qty,verified_coa_gate,margin_status,counsel_flag,public_copy_status,restock_decision,recommended_restock_qty,issues
5AMINO1MQ-50MG,5 Amino 1MQ,50 mg,red,hold_until_verified_coa,96.0,0,coa_review_hold_quantity_only,yellow_below_60_fix_by_reprice_or_reserve_cap,standard_ruo_review,yellow_ruo_copy_needs_vic_lawyer_pass,no_restock_now,0,verified_public_coa_missing_or_incomplete; strict_margin_not_green; public copy waits Vic/lawyer pass; SS_HEURISTIC
AOD9604-5MG,AOD9604,10 mg,red,hold_until_verified_coa,20.0,0,hold_no_verified_public_coa,yellow_below_60_fix_by_reprice_or_reserve_cap,high_counsel_review,yellow_ruo_copy_needs_vic_lawyer_pass,no_demand_no_restock,0,verified_public_coa_missing_or_incomplete; strict_margin_not_green; counsel_review; AOD 5mg/10mg historical drift + label task open; public copy waits Vic/lawyer pass; PERSONAL_USE_SKEW; NO_RECENT_CUSTOMER_DEMAND; SS_HEURISTIC
BAC-10ML,BAC Water,10 ml,red,hold_until_verified_coa,28.0,0,hold_no_verified_public_coa,yellow_below_60_fix_by_reprice_or_reserve_cap,high_counsel_review,yellow_ruo_copy_needs_vic_lawyer_pass,reorder_blocked_quality_proof_needed,150,verified_public_coa_missing_or_incomplete; strict_margin_not_green; counsel_review; public copy waits Vic/lawyer pass; SS_HEURISTIC
BPC157-5MG,BPC-157,5 mg,yellow,continue_controlled_margin_review,8.0,50.0,verified_public_batch_linked,yellow_below_60_fix_by_reprice_or_reserve_cap,high_counsel_review,yellow_ruo_copy_needs_vic_lawyer_pass,no_restock_now,0,strict_margin_not_green; counsel_review; public copy waits Vic/lawyer pass; SS_HEURISTIC
CEREBROLYSIN-60MG,Cerebrolysin,60 mg,grey,parked_no_stock_until_coa_margin_decision,0,0,hold_no_verified_public_coa,yellow_below_60_fix_by_reprice_or_reserve_cap,standard_ruo_review,yellow_ruo_copy_needs_vic_lawyer_pass,parked_no_stock_no_restock,0,verified_public_coa_missing_or_incomplete; strict_margin_not_green; public copy waits Vic/lawyer pass; FORECAST_IS_LOWER_BOUND; SS_HEURISTIC; PERSONAL_USE_SKEW; PARKED_OUT_OF_STOCK
CJC1295-5MG,CJC-1295,5 mg,red,hold_until_verified_coa,50.0,0,hold_no_verified_public_coa,yellow_below_60_fix_by_reprice_or_reserve_cap,high_counsel_review,yellow_ruo_copy_needs_vic_lawyer_pass,no_demand_no_restock,0,verified_public_coa_missing_or_incomplete; strict_margin_not_green; counsel_review; public copy waits Vic/lawyer pass; PERSONAL_USE_SKEW; NO_RECENT_CUSTOMER_DEMAND; SS_HEURISTIC
CJC1295DAC-5MG,CJC-1295 DAC,5 mg,grey,parked_no_stock_until_coa_margin_decision,0,0,hold_no_verified_public_coa,yellow_below_60_fix_by_reprice_or_reserve_cap,high_counsel_review,yellow_ruo_copy_needs_vic_lawyer_pass,parked_no_stock_no_restock,0,verified_public_coa_missing_or_incomplete; strict_margin_not_green; counsel_review; public copy waits Vic/lawyer pass; FORECAST_IS_LOWER_BOUND; SS_HEURISTIC; PERSONAL_USE_SKEW; PARKED_OUT_OF_STOCK
DSIP-10MG,DSIP,10 mg,grey,parked_no_stock_until_coa_margin_decision,0,0,hold_no_verified_public_coa,yellow_below_60_fix_by_reprice_or_reserve_cap,standard_ruo_review,yellow_ruo_copy_needs_vic_lawyer_pass,parked_no_stock_no_restock,0,verified_public_coa_missing_or_incomplete; strict_margin_not_green; public copy waits Vic/lawyer pass; FORECAST_IS_LOWER_BOUND; SS_HEURISTIC; PARKED_OUT_OF_STOCK
EPITHALON-10MG,Epithalon,10 mg,yellow,continue_controlled_margin_review,63.0,0,verified_public_batch_linked,yellow_below_60_fix_by_reprice_or_reserve_cap,standard_ruo_review,yellow_ruo_copy_needs_vic_lawyer_pass,no_restock_now,0,strict_margin_not_green; public copy waits Vic/lawyer pass; SS_HEURISTIC
FOXO4-10MG,FOXO4,10 mg,grey,parked_no_stock_until_coa_margin_decision,0,0,hold_no_verified_public_coa,yellow_below_60_fix_by_reprice_or_reserve_cap,standard_ruo_review,yellow_ruo_copy_needs_vic_lawyer_pass,parked_no_stock_no_restock,0,verified_public_coa_missing_or_incomplete; strict_margin_not_green; public copy waits Vic/lawyer pass; FORECAST_IS_LOWER_BOUND; SS_HEURISTIC; PERSONAL_USE_SKEW; PARKED_OUT_OF_STOCK
GHKCU-50MG,GHK-CU,50 mg,yellow,continue_controlled_margin_review,48.0,0,verified_public_batch_linked,yellow_below_60_fix_by_reprice_or_reserve_cap,standard_ruo_review,yellow_ruo_copy_needs_vic_lawyer_pass,no_restock_now,0,strict_margin_not_green; public copy waits Vic/lawyer pass; SS_HEURISTIC
GLUTATHIONE-1500MG,Glutathione,1500 mg,red,hold_until_verified_coa,47.0,0,hold_no_verified_public_coa,yellow_below_60_fix_by_reprice_or_reserve_cap,standard_ruo_review,yellow_ruo_copy_needs_vic_lawyer_pass,no_restock_now,0,verified_public_coa_missing_or_incomplete; strict_margin_not_green; public copy waits Vic/lawyer pass; PERSONAL_USE_SKEW; SS_HEURISTIC
