code,name,size,category,current_stock,incoming_open_qty,public_price_eur,net_revenue_ex_vat_eur,supplier_base_cost_usd_ex_coa,supabase_cost_total_usd,effective_coa_usd_per_sku,economic_batch_qty,economic_coa_per_vial_usd,landed_cost_eur_for_strict_gate,reserve_30pct_public_price_eur,profit_after_coa_vat_reserve_eur,strict_margin_after_coa_vat_reserve_pct,margin_status,public_coa_status,verified_coa_gate,coa_url,test_id,batch,purity_result,counsel_flag,public_copy_status,restock_planner_status,restock_decision,recommended_restock_qty,disposition,row_colour,issues
5AMINO1MQ-50MG,5 Amino 1MQ,50 mg,metabolic,96.0,0,89.99,74.99,13.0,20.6,382.5,54,7.0833,17.54,27.0,30.45,40.61,yellow_below_60_fix_by_reprice_or_reserve_cap,public_coa_listed,coa_review_hold_quantity_only,https://verify.janoshik.com/tests/122355-5_Amino_1_MQ_R3VKTCZ2G2V4,122355,QYA055,N/A - browser report showed quantity only,standard_ruo_review,yellow_ruo_copy_needs_vic_lawyer_pass,OK,no_restock_now,0,hold_until_verified_coa,red,verified_public_coa_missing_or_incomplete; strict_margin_not_green; public copy waits Vic/lawyer pass; SS_HEURISTIC
AOD9604-5MG,AOD9604,10 mg,metabolic,20.0,0,59.0,49.17,12.9,21.9,182.75,46,3.9728,14.74,17.7,16.73,34.02,yellow_below_60_fix_by_reprice_or_reserve_cap,no_public_coa_listed,hold_no_verified_public_coa,,,,340-360 if treated as rHGH fragment; confirm,high_counsel_review,yellow_ruo_copy_needs_vic_lawyer_pass,NO_DEMAND,no_demand_no_restock,0,hold_until_verified_coa,red,verified_public_coa_missing_or_incomplete; strict_margin_not_green; counsel_review; AOD 5mg/10mg historical drift + label task open; public copy waits Vic/lawyer pass; PERSONAL_USE_SKEW; NO_RECENT_CUSTOMER_DEMAND; SS_HEURISTIC
BAC-10ML,BAC Water,10 ml,utility,28.0,0,11.0,9.17,3.1,3.1,123.25,149,0.8272,3.43,3.3,2.44,26.58,yellow_below_60_fix_by_reprice_or_reserve_cap,needs_sterile_quality_docs,hold_no_verified_public_coa,,,,not covered by peptide pricing,high_counsel_review,yellow_ruo_copy_needs_vic_lawyer_pass,ORDER_NOW,reorder_blocked_quality_proof_needed,150,hold_until_verified_coa,red,verified_public_coa_missing_or_incomplete; strict_margin_not_green; counsel_review; public copy waits Vic/lawyer pass; SS_HEURISTIC
BPC157-5MG,BPC-157,5 mg,repair,8.0,50.0,39.99,33.33,8.0,11.6,182.75,62,2.9476,9.56,12.0,11.77,35.3,yellow_below_60_fix_by_reprice_or_reserve_cap,public_coa_listed,verified_public_batch_linked,https://verify.janoshik.com/tests/121490-BPC_157_AAFT2U38IAZE,121490,QYA055,99.672%,high_counsel_review,yellow_ruo_copy_needs_vic_lawyer_pass,OK,no_restock_now,0,continue_controlled_margin_review,yellow,strict_margin_not_green; counsel_review; public copy waits Vic/lawyer pass; SS_HEURISTIC
CEREBROLYSIN-60MG,Cerebrolysin,60 mg,cognitive,0,0,59.99,49.99,6.3,6.3,382.5,,,5.5,18.0,26.49,52.99,yellow_below_60_fix_by_reprice_or_reserve_cap,no_public_coa_listed,hold_no_verified_public_coa,,,,quote required / not mapped in Topic F pricing,standard_ruo_review,yellow_ruo_copy_needs_vic_lawyer_pass,PARKED,parked_no_stock_no_restock,0,parked_no_stock_until_coa_margin_decision,grey,verified_public_coa_missing_or_incomplete; strict_margin_not_green; public copy waits Vic/lawyer pass; FORECAST_IS_LOWER_BOUND; SS_HEURISTIC; PERSONAL_USE_SKEW; PARKED_OUT_OF_STOCK
CJC1295-5MG,CJC-1295,5 mg,gh,50.0,0,49.0,40.83,7.8,7.8,246.5,59,4.178,10.46,14.7,15.67,38.38,yellow_below_60_fix_by_reprice_or_reserve_cap,no_public_coa_listed,hold_no_verified_public_coa,,,,215 for no-DAC CJC-1295,high_counsel_review,yellow_ruo_copy_needs_vic_lawyer_pass,NO_DEMAND,no_demand_no_restock,0,hold_until_verified_coa,red,verified_public_coa_missing_or_incomplete; strict_margin_not_green; counsel_review; public copy waits Vic/lawyer pass; PERSONAL_USE_SKEW; NO_RECENT_CUSTOMER_DEMAND; SS_HEURISTIC
CJC1295DAC-5MG,CJC-1295 DAC,5 mg,gh,0,0,52.0,43.33,15.0,15.0,246.5,,,13.1,15.6,14.63,33.76,yellow_below_60_fix_by_reprice_or_reserve_cap,no_public_coa_listed,hold_no_verified_public_coa,,,,quote required / not mapped in Topic F pricing,high_counsel_review,yellow_ruo_copy_needs_vic_lawyer_pass,PARKED,parked_no_stock_no_restock,0,parked_no_stock_until_coa_margin_decision,grey,verified_public_coa_missing_or_incomplete; strict_margin_not_green; counsel_review; public copy waits Vic/lawyer pass; FORECAST_IS_LOWER_BOUND; SS_HEURISTIC; PERSONAL_USE_SKEW; PARKED_OUT_OF_STOCK
DSIP-10MG,DSIP,10 mg,other,0,0,34.99,29.16,8.5,8.5,246.5,,,7.42,10.5,11.24,38.54,yellow_below_60_fix_by_reprice_or_reserve_cap,no_public_coa_listed,hold_no_verified_public_coa,,,,290,standard_ruo_review,yellow_ruo_copy_needs_vic_lawyer_pass,PARKED,parked_no_stock_no_restock,0,parked_no_stock_until_coa_margin_decision,grey,verified_public_coa_missing_or_incomplete; strict_margin_not_green; public copy waits Vic/lawyer pass; FORECAST_IS_LOWER_BOUND; SS_HEURISTIC; PARKED_OUT_OF_STOCK
EPITHALON-10MG,Epithalon,10 mg,longevity,63.0,0,39.0,32.5,7.1,15.1,382.5,149,2.5671,8.44,11.7,12.36,38.02,yellow_below_60_fix_by_reprice_or_reserve_cap,public_coa_listed,verified_public_batch_linked,https://verify.janoshik.com/tests/156398-Epithalon_JVN36Z9PI4VE,156398,QYA036,99.516%,standard_ruo_review,yellow_ruo_copy_needs_vic_lawyer_pass,OK,no_restock_now,0,continue_controlled_margin_review,yellow,strict_margin_not_green; public copy waits Vic/lawyer pass; SS_HEURISTIC
FOXO4-10MG,FOXO4,10 mg,longevity,0,0,169.0,140.83,31.8,31.8,382.5,,,27.78,50.7,62.36,44.28,yellow_below_60_fix_by_reprice_or_reserve_cap,no_public_coa_listed,hold_no_verified_public_coa,,,,likely 450 complex/rare; confirm,standard_ruo_review,yellow_ruo_copy_needs_vic_lawyer_pass,PARKED,parked_no_stock_no_restock,0,parked_no_stock_until_coa_margin_decision,grey,verified_public_coa_missing_or_incomplete; strict_margin_not_green; public copy waits Vic/lawyer pass; FORECAST_IS_LOWER_BOUND; SS_HEURISTIC; PERSONAL_USE_SKEW; PARKED_OUT_OF_STOCK
